,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
36,Summer Sixteen,Drake,spotify:track:17Q87zeXgsAi9iQQbMu9v0,0.594,0.46,1,-7.607,1,0.382,0.0035399999999999997,2.71e-05,0.147,0.0541,146.274,202451,4,54.72466,8,1
37,Chainsaw,The Band Perry,spotify:track:6BstspHAG1DuMebrQJWPJY,0.62,0.737,2,-4.296,1,0.0248,0.18899999999999997,0.0,0.0562,0.631,83.991,227840,4,24.47033,12,1
38,Dancehall Landlord,Shatta Wale,spotify:track:57xzWs6FLHOMJuHpVSfOAt,0.8,0.825,7,-3.5789999999999997,1,0.36700000000000005,0.42200000000000004,0.0,0.426,0.8,101.178,183187,4,39.03696,10,0
39,Smash the Windows,Alasdair Roberts,spotify:track:0tWPTpXfHxMR9d1NnICvUT,0.478,0.223,9,-15.015,1,0.0389,0.8420000000000001,0.35700000000000004,0.125,0.966,148.597,120987,4,24.12584,8,0
40,Let It Go,Keyshia Cole Featuring Missy Elliott & Lil Kim,spotify:track:2RqZFOLOnzVmHUX7ZMcaES,0.8059999999999999,0.721,10,-5.167000000000001,0,0.215,0.19699999999999998,0.0,0.209,0.7809999999999999,94.96700000000001,238333,4,32.69372,12,1
41,Party Of A Lifetime - Original Mix,Crazy Daylight,spotify:track:5NKMYl0Qsnf4RHv6DD5GZj,0.826,0.634,2,-5.228,1,0.0528,0.00228,0.00122,0.0825,0.507,105.015,267962,4,30.867620000000002,9,0
42,Never Change,Getter,spotify:track:7s3jZNOFccQXu4v3ZpwNUk,0.42,0.625,4,-5.272,1,0.0361,0.239,1.86e-05,0.095,0.204,149.96,323200,4,26.456740000000003,17,0
43,Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,spotify:track:2dwoqUYTy6SOy1dFqcTndC,0.552,0.698,8,-4.817,1,0.0306,0.294,0.000103,0.0905,0.6,90.006,202067,4,106.20801000000002,6,1
44,The Excess,Whipstriker,spotify:track:3ErggWBS6cln9weQjWLqnr,0.391,0.9790000000000001,1,-3.377,0,0.0651,0.0125,0.747,0.239,0.285,125.094,154787,4,31.50423,9,0
45,Every Storm (Runs Out Of Rain),Gary Allan,spotify:track:6s3dgEQgen7G85NtYUTEbD,0.526,0.693,0,-6.972,1,0.0327,0.046,9.55e-06,0.247,0.363,107.012,225640,4,89.85497,8,1
46,Price Tag,Jessie J Featuring B.o.B,spotify:track:5mvKuE9Lf9ARVXVXA32kK9,0.638,0.831,5,-3.944,1,0.182,0.0281,3.06e-06,0.27699999999999997,0.685,175.03799999999998,223053,4,42.68796,10,1
47,我がままなハイヒール - Non Stop Mix ver.,秋元薫,spotify:track:7rwK52xzfFuyCv8VD1p9tL,0.816,0.715,7,-7.068,1,0.0419,0.297,0.00605,0.124,0.823,105.62,166571,4,31.258940000000003,9,0
48,Relentless Mutation,Archspire,spotify:track:0a5M9DltcncHl3DKErFmD3,0.52,0.909,6,-5.461,0,0.0544,0.0061600000000000005,0.635,0.11,0.311,140.055,274598,4,42.24989,10,0
49,Wild West,The Deadly Snakes,spotify:track:61YjmZhsFftH2Jg1MZvgoc,0.7020000000000001,0.7170000000000001,7,-7.904,1,0.353,0.0173,0.0,0.8759999999999999,0.7440000000000001,93.309,213013,4,20.409570000000002,12,0
50,Throw That Metal,I Heart Hiroshima,spotify:track:3tRtvuCmTOdx2dnqZjl6kH,0.5660000000000001,0.664,2,-4.303,1,0.0369,0.156,3.32e-05,0.325,0.9440000000000001,148.606,171520,1,55.701409999999996,8,0
51,Payback,Juicy J,spotify:track:5cXAuTYvFXkL0ombvLGmci,0.7,0.8240000000000001,1,-6.029,1,0.0772,0.17300000000000001,0.0,0.105,0.763,91.979,237997,4,35.20221,12,0
52,Messengers,Lecrae,spotify:track:5OExw3ycwqhQLlP8ULYsRT,0.574,0.762,7,-5.931,1,0.0821,0.0399,4.03e-06,0.223,0.493,90.01100000000001,216876,4,44.22599,8,0
53,Propuesta Indecente,Romeo Santos,spotify:track:5PycBIeabfvX3n9ILG7Vrv,0.757,0.632,2,-6.83,1,0.0549,0.499,0.0,0.0723,0.742,122.936,235133,4,30.041259999999998,9,1
54,That'd Be Alright,Alan Jackson,spotify:track:48ykOM780IeqcmTcwK9IM4,0.672,0.731,2,-8.791,1,0.0282,0.228,0.0,0.0661,0.9129999999999999,134.376,221760,4,32.18602,8,1
55,Tribal Techno,Maurizio Braccagni,spotify:track:1qxMcNXsi8q5FHmBs0VgQU,0.706,0.727,3,-15.569,0,0.0391,0.000182,0.86,0.273,0.29,132.49,276245,4,28.185509999999997,16,0
56,Barbed Wire Metal,Elm Street,spotify:track:2IA3YON4ZtskR5g0fmUgJA,0.384,0.987,11,-4.121,0,0.11800000000000001,2.1600000000000003e-05,0.008709999999999999,0.371,0.218,74.96300000000001,224800,4,45.352990000000005,8,0
57,I Had All I Gave,Crowbar,spotify:track:37WpGnZzTLqLTuRAoN0kcH,0.364,0.919,6,-8.179,1,0.147,0.0007509999999999999,0.00619,0.336,0.365,116.044,189853,4,27.171359999999996,10,0
58,I Gotta Feeling,The Black Eyed Peas,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,0.743,0.7659999999999999,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,289133,4,33.78171,16,1
59,Gladiator,Zayde Wølf,spotify:track:738SQjONa0q63yhLxvg3m1,0.54,0.78,9,-5.872000000000001,1,0.0418,0.0263,7.12e-06,0.35,0.514,144.011,188333,4,21.286920000000002,8,0
60,All I Ever Wanted,Chuck Wicks,spotify:track:6RKrORavcsGPPrkRzkU14H,0.5379999999999999,0.773,11,-4.659,1,0.0281,0.0268,0.0,0.0829,0.611,94.053,207333,4,18.90371,14,1
61,Perfume - Zurdo Jazz Remix,Campo,spotify:track:0vhb8KmNrwSNdRph4m1iLi,0.711,0.922,2,-10.056000000000001,1,0.0381,0.0142,0.848,0.1,0.66,105.008,474547,4,94.53437,9,0
62,Ammunition,Synapscape,spotify:track:48UiA9vsN4blMIQ0Lx2Blv,0.165,0.5820000000000001,5,-9.576,0,0.0807,0.00461,0.165,0.255,0.0754,84.279,267013,4,36.3213,10,0
63,My Give A Damn's Busted,Jo Dee Messina,spotify:track:3n8QTc8J3T72KurDsWo1b6,0.665,0.8740000000000001,2,-4.082,1,0.0308,0.14300000000000002,1.05e-05,0.251,0.7659999999999999,103.98,198960,4,35.1493,9,1
64,Transit Ride,Guru,spotify:track:5uq6aZUxOjsrJNGw9HOdOF,0.655,0.7559999999999999,6,-11.408,1,0.239,0.0211,0.000292,0.282,0.882,93.02600000000001,238293,4,32.873290000000004,14,0
65,Ring around the Moon,Elephant Revival,spotify:track:4m0MxfIXvKBe3cATug1PUg,0.419,0.36200000000000004,5,-9.383,1,0.0279,0.6559999999999999,0.00943,0.0918,0.341,79.96300000000001,260547,4,56.15778,10,0
66,The Sacristan,Arve Henriksen,spotify:track:2qpYQYAcYlQSxJjAs11fty,0.309,0.0126,6,-20.379,0,0.0451,0.988,0.8640000000000001,0.106,0.0784,119.8,191706,5,19.99275,12,0
67,What About Love,Austin Mahone,spotify:track:52vS7mJ0a70Z4uRCfl8SjH,0.632,0.784,2,-7.457000000000001,1,0.0393,0.000157,3.6e-05,0.037000000000000005,0.278,100.01899999999999,203344,4,68.1101,10,1
68,Valuable Pain,YoungBoy Never Broke Again,spotify:track:61Oo3DUJubecZQosjho6Pp,0.525,0.8109999999999999,5,-5.702000000000001,0,0.345,0.23,0.0,0.213,0.513,169.685,169459,4,57.06723,6,1
69,Don't Start Now,Dua Lipa,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.7929999999999999,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4,48.15807,7,1
70,Indie Rock Assassination,Captain of Industry,spotify:track:4ipZ0y3c3StYWzIJxaPwuX,0.5870000000000001,0.77,10,-9.648,0,0.0599,0.000259,0.0159,0.34600000000000003,0.5770000000000001,127.824,145040,4,35.452740000000006,6,0
71,Never Gonna Be Alone,Nickelback,spotify:track:7aySoZnwt7c6lA54qVVUOk,0.544,0.802,4,-4.152,1,0.0282,0.00155,7.340000000000001e-05,0.122,0.59,130.02200000000002,227027,4,58.110859999999995,7,1
72,What's Free,Meek Mill Featuring Rick Ross & JAY-Z,spotify:track:4iQ5gmTAzWfK8JyFC2LBox,0.511,0.718,11,-6.292999999999999,0,0.40399999999999997,0.000322,0.0,0.111,0.267,166.42,362839,4,36.28663,19,1
73,Heartache Medication,Jon Pardi,spotify:track:6ZvAXIWw3rw8WR0Xlmifri,0.621,0.7909999999999999,9,-3.343,1,0.0265,0.0361,0.0,0.14300000000000002,0.7340000000000001,95.075,209110,4,67.50192,9,1
74,Get Ugly,Jason Derulo,spotify:track:1dl3vuXJS9anUXE7XnNP75,0.75,0.6829999999999999,9,-4.829,0,0.12,0.0462,1.32e-06,0.297,0.539,111.066,200492,4,30.266479999999998,10,1
75,Improvisation,Anthony Braxton,spotify:track:2uzUBu0jRJXE3v3NIZPAlp,0.465,0.0198,5,-23.743000000000002,1,0.0695,0.98,0.00937,0.141,0.183,152.195,361933,4,51.53951,17,0
76,Ride 4 Me (feat. PnB Rock),Rosewood Bape,spotify:track:5EDew6KNlMSnGmnlIiuIH8,0.7120000000000001,0.655,6,-5.3229999999999995,0,0.0686,0.5920000000000001,0.0,0.122,0.721,94.991,189467,4,41.38748,6,0
77,If We Ever Meet Again,Timbaland Featuring Katy Perry,spotify:track:2O90LJxT3KpLQxAh2Twn6y,0.652,0.605,8,-7.371,1,0.0393,0.00481,0.0,0.0605,0.39399999999999996,126.09100000000001,292707,4,45.47038,12,1
78,Cold,Maroon 5 Featuring Future,spotify:track:7gwLQ4tZ5UdZ7qNcDyJ8wr,0.693,0.7170000000000001,9,-6.346,0,0.107,0.14,0.0,0.0464,0.41200000000000003,99.836,234308,4,27.39501,11,1
79,Single For The Rest Of My Life,Isyss,spotify:track:5ntkgBVRkW8BZ1cr0acKLD,0.721,0.7170000000000001,6,-8.095,1,0.0394,0.0796,0.00411,0.33399999999999996,0.805,147.655,235636,4,28.35613,11,1
80,So Magical,A Touch Of Class,spotify:track:6cGH4B6IKymGqi6bzDuJWt,0.638,0.879,10,-8.074,0,0.114,0.42100000000000004,0.00549,0.0808,0.528,133.00799999999998,217432,4,26.48586,9,0
81,The Whole World,OutKast Featuring Killer Mike,spotify:track:074v54tSEWLbq3Hu5wf6uh,0.815,0.852,2,-6.176,1,0.401,0.0958,1.32e-06,0.0288,0.7170000000000001,184.666,295347,3,36.829609999999995,11,1
82,Things I See When Making Beats,Cryptic One,spotify:track:0ms3TgDwmInq23f5m2f6c2,0.539,0.649,2,-7.718,1,0.0309,0.0936,0.9520000000000001,0.325,0.239,93.009,129071,4,30.38573,7,0
83,Metal Upa,747,spotify:track:6DBp2PAq4HwvSQgmSIzRs3,0.696,0.7859999999999999,4,-9.502,0,0.0474,0.8859999999999999,0.914,0.10400000000000001,0.0648,128.017,422373,4,30.28981,20,0
84,Taxidermist,False Prophets,spotify:track:5TmLCuGKfXZVahBnTs2Bws,0.13699999999999998,0.853,11,-8.79,0,0.0972,0.000129,0.00229,0.0473,0.252,187.209,274493,4,106.25521,8,0
85,Anywhere With You,Jake Owen,spotify:track:2yWtLaPCOUDyi7f1lOXCn5,0.475,0.9359999999999999,5,-2.545,1,0.0413,0.0418,0.0,0.0873,0.598,151.988,209587,4,40.79605,6,1
86,Teenage Dream,Glee Cast,spotify:track:2bIswilW8apEYGJcMSHPKA,0.493,0.36200000000000004,2,-9.56,1,0.0384,0.74,0.0,0.0966,0.65,129.739,225347,4,30.08783,10,1
87,The Approaching Night,Philip Wesley,spotify:track:4eoDPVbSx04PlypRDwjsXk,0.429,0.0997,0,-23.883000000000003,1,0.0427,0.992,0.902,0.115,0.0804,93.229,399667,4,30.131290000000003,17,0
88,There Goes My Life,Kenny Chesney,spotify:track:1CjQCQsl9FDb3WhjGcFOzG,0.5770000000000001,0.483,4,-8.141,1,0.0324,0.0337,6.22e-06,0.3,0.218,135.77,302667,4,57.92695,10,1
89,Tables,Joey Trap,spotify:track:5CEqIyfuiSa1MTTUh8kr7f,0.9490000000000001,0.525,1,-7.096,1,0.16899999999999998,0.00716,0.0,0.10099999999999999,0.26,100.068,155500,4,33.03738,7,0
90,Born to Play Metal,Fireforce,spotify:track:1HqvjAC4tSi3S5ySdzCFG1,0.552,0.972,6,-4.434,0,0.0979,3.63e-05,0.74,0.289,0.172,114.99600000000001,209840,4,17.6159,9,0
91,Untitled,Jupiter Grains,spotify:track:3tCBeat5YZBwLf61yoQJ9v,0.209,0.0219,5,-25.95,1,0.0344,0.9540000000000001,0.938,0.10400000000000001,0.0358,78.336,112312,1,0.0,2,0
92,Pain,Three Days Grace,spotify:track:5PZ2cqh9Yem2g6cTSOLllz,0.41600000000000004,0.741,7,-4.001,1,0.0335,0.00804,0.0,0.273,0.28600000000000003,160.515,202973,4,28.225759999999998,10,1
93,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,spotify:track:03tqyYWC9Um2ZqU0ZN849H,0.76,0.595,1,-6.3660000000000005,1,0.0391,0.0054399999999999995,0.0,0.24100000000000002,0.361,131.497,263773,4,104.7946,6,1
94,Mantra of Blessing (Purification),Lama Tashi,spotify:track:3vuSxwESB1IZFQlSLrPTfT,0.255,0.233,4,-18.158,1,0.0506,0.993,0.9520000000000001,0.154,0.0362,132.16299999999998,381787,3,135.2539,11,0
95,Legenda Revontulet (Synth Version) [Bonus Track],Wonders of Nature,spotify:track:4adIgM2j87A8G3q3ND9ctq,0.0696,0.36200000000000004,11,-10.542,0,0.035,0.366,0.995,0.13699999999999998,0.0525,77.738,461904,4,39.44104,11,0
96,You're the New Metalcore,Tiefighter,spotify:track:44BOMtl7BjAGukyoktM21m,0.21100000000000002,0.653,2,-3.985,1,0.0772,0.000174,0.0,0.581,0.0,152.211,15920,4,0.0,2,0
97,Liquor,Chris Brown,spotify:track:5u7o3wXWJI7AN1b9KIf3m8,0.6859999999999999,0.342,5,-8.555,0,0.0447,0.0212,0.0,0.111,0.429,104.995,224907,4,28.49482,9,1
98,Youngblood,5 Seconds Of Summer,spotify:track:2iUXsYOEPhVqEBwsqP70rE,0.596,0.8540000000000001,7,-5.114,0,0.46299999999999997,0.0169,0.0,0.124,0.152,120.274,203418,4,34.23056,9,1
99,Curtains,Team Ghost,spotify:track:3ALJqaPklbubRmEN2MGQRP,0.402,0.9440000000000001,11,-4.356,0,0.0695,1.55e-05,0.5710000000000001,0.23399999999999999,0.444,140.043,157560,4,49.422290000000004,7,0
100,Picaflor,Mon Cote Punk,spotify:track:1o26nyTMcxFWXuPJQAnolm,0.632,0.40399999999999997,8,-11.939,0,0.0467,0.905,0.0334,0.113,0.335,70.74600000000001,158653,4,53.1768,5,0
101,No Me Conoces Aún,Palomo,spotify:track:27OazZsnF6N1Hp75pCmBNI,0.655,0.624,11,-5.795,1,0.0528,0.161,4.09e-06,0.158,0.578,162.167,224253,4,41.724909999999994,10,0
102,Metal Postcard (Mittageisen) - Pathway Session,Siouxsie and the Banshees,spotify:track:6iGElG5q354NzOBdTW9RdL,0.705,0.703,11,-6.601,0,0.0331,0.0386,0.0237,0.113,0.6729999999999999,101.427,243787,4,56.62404,11,0
103,Bendix 1: The Tomorrow People,Raymond Scott,spotify:track:2VRPZo2QBfnY9JKxgtDg66,0.579,0.391,6,-18.39,0,0.914,0.938,0.0,0.24600000000000002,0.6829999999999999,101.459,66693,3,6.73588,3,0
104,Human,Christina Perri,spotify:track:1x80xTzSL7pok3M5JC3oJz,0.439,0.489,8,-6.2860000000000005,1,0.0368,0.132,0.000643,0.114,0.253,143.808,250707,4,101.85226999999999,8,1
105,Aldri For Seint Te Rock 'N Roll,Sie Gubba,spotify:track:6M3MCkdWHLsi5EmEJJTVeM,0.527,0.86,2,-5.439,1,0.0693,0.163,0.0,0.825,0.733,117.965,238320,4,22.152479999999997,11,0
106,Drugs Or Jesus,Tim McGraw,spotify:track:56DXpIS5RAMfRFs2mVcjf7,0.498,0.6729999999999999,0,-4.5889999999999995,1,0.0268,0.303,4.01e-05,0.0943,0.278,146.94299999999998,279933,4,56.7129,13,1
107,Nara (Theme to Cold Case),E.S. Posthumus,spotify:track:47vFyxAv24QxAOfdMuE3oV,0.563,0.413,9,-12.589,0,0.0268,0.0534,0.7170000000000001,0.141,0.225,149.997,291027,3,54.14674,13,0
108,Oslo Melancholy,Solefald,spotify:track:5qoAlbuPgC7RHty953fosU,0.161,0.28,4,-13.957,1,0.035,0.9420000000000001,0.909,0.0916,0.195,131.18,212684,4,23.15707,7,0
109,Amygdala,Michel LeBond,spotify:track:5921nMZXq52f54Jv57BE80,0.132,0.0324,8,-23.953000000000003,1,0.0352,0.961,0.963,0.10300000000000001,0.0918,99.13799999999999,218175,4,39.35941,12,0
110,Send And Receive,Tycho,spotify:track:2F74sQhuAH511mBJVn0zZI,0.5579999999999999,0.491,9,-14.687999999999999,0,0.0382,0.9420000000000001,0.871,0.385,0.287,160.05200000000002,293133,4,30.34608,10,0
111,Rose Room,Bobby Hackett,spotify:track:6IiQ4O4AbDxDMD7izHbd8X,0.6709999999999999,0.38299999999999995,8,-13.421,1,0.0583,0.9259999999999999,0.845,0.434,0.9470000000000001,96.198,165628,4,47.1831,7,0
112,Vanthisuve -- Nattai -- Kandachapu -- Purandarados,M. L. Vasanthakumari,spotify:track:3b0XwcWR0SjW9CucCcIZYY,0.426,0.7040000000000001,1,-13.575,1,0.428,0.86,1.44e-06,0.501,0.9440000000000001,180.798,329133,4,62.783680000000004,12,0
113,Love So Soft,Kelly Clarkson,spotify:track:16QN8cBubEq706vNtPpOME,0.8079999999999999,0.581,11,-5.43,1,0.07,0.0053,1.1900000000000001e-05,0.0828,0.758,130.012,172427,4,31.95099,6,1
114,Open House,Guru,spotify:track:2nIQLI6m0qgjuZ6eO3f7r3,0.7440000000000001,0.7390000000000001,4,-6.272,0,0.307,0.11900000000000001,0.0,0.106,0.6779999999999999,79.245,185582,4,28.99861,8,0
115,Half Mast,Empire of the Sun,spotify:track:49Hkgl03InFFqBklOQxunt,0.775,0.736,0,-4.966,1,0.0303,0.00373,0.006690000000000001,0.506,0.778,126.96600000000001,234360,4,38.370470000000005,11,0
116,Soul Meets Body,Death Cab For Cutie,spotify:track:5yc59J3MR3tVDPTOgwgRI5,0.621,0.853,2,-5.735,0,0.0253,0.0767,3.26e-06,0.0893,0.7140000000000001,128.142,229413,4,45.81638,10,1
117,Wind Wave,Susumu Yokota,spotify:track:41MOcBv67ykj5IpFJ24WqM,0.384,0.07,9,-25.183000000000003,1,0.0373,0.995,0.89,0.0964,0.0378,105.838,65613,4,29.982590000000002,4,0
118,Green Light,Lorde,spotify:track:6ie2Bw3xLj2JcGowOlcMhb,0.594,0.721,2,-7.812,1,0.0957,0.0209,8.55e-06,0.0879,0.253,128.942,234653,4,30.51199,11,1
